SRX24880704: SRR29366264
SRX24880703: SRR29366265
SRX24880702: SRR29366266
SRX18862203: SRR22904707
SRX18247665: SRR22271585
SRX18247664: SRR22271586
SRX18247663: SRR22271587
SRX18247662: SRR22271588
SRX18247661: SRR22271589
SRX15106284: SRR19034772
SRX15106283: SRR19034773
SRX14222498: SRR18070778
SRX14222497: SRR18070779
SRX14222496: SRR18070780
SRX14222495: SRR18070781
SRX14222494: SRR18070782
SRX14222493: SRR18070783
SRX14222492: SRR18070784
SRX14222491: SRR18070785
SRX14222490: SRR18070786
SRX14222489: SRR18070787
SRX14222488: SRR18070788
SRX14222487: SRR18070789
SRX14222486: SRR18070790
SRX14222485: SRR18070791
SRX14222484: SRR18070792
SRX14222483: SRR18070793
SRX14222482: SRR18070794
SRX14222481: SRR18070795
SRX10649919: SRR14292007
SRX10649918: SRR14292008
SRX7139429: SRR10444679
SRX7139428: SRR10444680
SRX7139427: SRR10444681
SRX7139426: SRR10444682
SRX7139425: SRR10444683
SRX7139424: SRR10444684
SRX5647149: SRR8859643
SRX5647148: SRR8859644
SRX5647147: SRR8859645
SRX5647146: SRR8859646
SRX5647145: SRR8859647
SRX5647144: SRR8859648
SRX3194951: SRR6048009
SRX2772038: SRR5489198
